num	usuario	contraseña
1	admin	admin123
2	jhernández	jhernández123
3	mlópez	mlópez123
4	vend01	vend01123
5	vend02	vend02123
6	vend03	vend03123
7	vend04	vend04123
8	vend05	vend05123
9	vend06	vend06123
10	vend07	vend07123
11	vend08	vend08123
12	vend09	vend09123
13	vend10	vend10123
14	vend11	vend11123
15	vend12	vend12123
16	vend13	vend13123
17	vend14	vend14123
18	vend15	vend15123
19	vend16	vend16123
20	vend17	vend17123
21	vend18	vend18123
22	vend19	vend19123
23	vend20	vend20123
24	alm01	alm01123
25	alm02	alm02123
26	alm03	alm03123
27	alm04	alm04123
28	alm05	alm05123
29	alm06	alm06123
30	alm07	alm07123
31	alm08	alm08123
32	alm09	alm09123
33	alm10	alm10123
34	alm11	alm11123
35	alm12	alm12123
36	alm13	alm13123
37	alm14	alm14123
38	alm15	alm15123
39	alm16	alm16123
40	alm17	alm17123
41	alm18	alm18123
42	alm19	alm19123
43	alm20	alm20123
44	rep01	rep01123
45	rep02	rep02123
46	rep03	rep03123
47	rep04	rep04123
48	rep05	rep05123
49	rep06	rep06123
50	rep07	rep07123
51	rep08	rep08123
52	rep09	rep09123
53	rep10	rep10123
54	rep11	rep11123
55	rep12	rep12123
56	rep13	rep13123
57	rep14	rep14123
58	rep15	rep15123
59	rep16	rep16123
60	rep17	rep17123
61	rep18	rep18123
62	rep19	rep19123
63	rep20	rep20123
